+------------------------------------------------------------------------------------+
|                           KEY|                                  NAME|INGR|TYPE|MAKE|
+------------------------------------------------------------------------------------+
|                         MANDM|                                   M&M|   2|   0|    |
|        DARKANDSTORMYWITHLEMON|            Dark and Stormy with lemon|   3|   2|    |
|     BRAZILIANDREAMWITHDARKRUM|       Brazilian Dream (sub.dark rum) |   3|   2|    |
|                  LOUNGELIZARD|                         Lounge Lizard|   3|   2|    |
|                     CHURCHILL|                             Churchill|   4|   1|    |
|                  VODKASUNRISE|                         Vodka Sunrise|   3|   2|    |
|           MOSCOWMULEWITHLEMON|              Moscow Mule (sub. lemon)|   3|   2|    |
|                 BARBOTSUNRISE|                        BarBot Sunrise|   4|   2|    |
|          VODKAGIMLETWITHLEMON|             Vodka Gimlet (sub. lemon)|   2|   1|    |
|                  BLACKRUSSIAN|                         Black Russian|   2|   1|  x |
|                     VODKASHOT|                                 Vodka|   1|   0|    |
|                  LIGHTRUMSHOT|                             Light Rum|   1|   0|    |
|                    REDSNAPPER|                           Red Snapper|   3|   0|    |
|         LEFTHANDEDSCREWDRIVER|               Left Handed Screwdriver|   2|   2|    |
|                   FRENCHSCREW|                          French Screw|   2|   2|    |
|              RUSSIANCOSMONAUT|                     Russian Cosmonaut|   4|   2|  x |
|          WHISKEYSOURWITHLEMON|             Whiskey Sour (sub. lemon)|   2|   1|    |
|        RUMANDCOKEWITHLIGHTRUM|           Rum & Coke (sub. light rum)|   2|   2|    |
|                     GREYHOUND|                             Greyhound|   2|   2|    |
|              FRENCHCONNECTION|                     French Connection|   2|   1|    |
|                       GINBUCK|                              Gin Buck|   3|   2|    |
|                  RYEANDGINGER|                        Rye and Ginger|   2|   2|  x |
|             KAMIKAZEWITHLEMON|                 Kamikaze (sub. lemon)|   3|   2|    |
|                   DARKRUMSHOT|                              Dark Rum|   1|   0|    |
|                   PANGALACTIC|           Pan Galactic Gargle Blaster|   6|   2|    |
|                    RUMANDCOKE|                            Rum & Coke|   2|   2|    |
|   CARIBBEANSUNRISEWITHDARKRUM|     Caribbean Sunrise (sub. dark rum)|   3|   2|    |
|                 BLUEMARGARITA|                        Blue Margarita|   3|   2|    |
|         CUBANSCREWWITHDARKRUM|                Cuban Screw (dark rum)|   2|   2|  x |
|                      AMAZODKA|                              Amazodka|   2|   2|    |
|       BRASSMONKEYWITHLIGHTRUM|         Brass Monkey (sub. light rum)|   3|   2|    |
|                      DAIQUIRI|                              Daiquiri|   3|   1|    |
|             LONGISLANDICEDTEA|                  Long Island Iced Tea|   7|   2|    |
|                   TOOTSIEROLL|                          Tootsie Roll|   3|   0|    |
|                   PANGALACTIC|           Pan Galactic Gargle Blaster|   7|   2|    |
|                   WHISKEYSHOT|                               Whiskey|   1|   0|    |
|               GIMLETWITHLEMON|                   Gimlet (sub. lemon)|   2|   1|    |
|           WHISKEYSOURWITHLIME|              Whiskey Sour (sub. lime)|   2|   1|  x |
|                    MOSCOWMULE|                           Moscow Mule|   3|   2|  x |
|                     SUPERNOVA|            Super Nova with Grapefruit|   4|   2|    |
|                  AMARETTOSOUR|                         Amaretto Sour|   2|   1|    |
|                WHISKEYANDCOKE|                      Whiskey and Coke|   2|   2|    |
|                   ZEROGRAVITY|                          Zero Gravity|   3|   1|    |
|                 APEROLSUNRISE|                        Aperol Sunrise|   3|   2|    |
|           CAPECODDERWITHLEMON|              Cape Codder (sub. lemon)|   3|   2|    |
|            KEYWESTSCREWDRIVER|                  Key West Screwdriver|   3|   2|  x |
|         CUBALIBREWITHLIGHTRUM|           Cuba Libre (sub. light rum)|   3|   2|    |
|                     MANHATTAN|                             Manhattan|   2|   1|    |
|                  COSMOPOLITAN|                          Cosmopolitan|   4|   2|    |
|                BRAZILIANDREAM|                       Brazilian Dream|   3|   2|    |
|                   GINANDTONIC|                         Gin and Tonic|   2|   2|    |
|          AMARETTOSOURWITHLIME|             Amaretto Sour (sub. lime)|   2|   1|    |
|                  SILVERBULLET|                         Silver Bullet|   2|   0|    |
|              LONGBEACHICEDTEA|                   Long Beach Iced Tea|   6|   2|    |
|                    SOLARFLARE|                           Solar Flare|   4|   2|  x |
|                VODKACRANBERRY|                       Vodka Cranberry|   2|   2|  x |
|                     CUBALIBRE|                            Cuba Libre|   3|   2|    |
|                     BLACKHOLE|                            Black Hole|   4|   2|    |
|         COSMOPOLITANWITHLEMON|             Cosmopolitan (sub. lemon)|   4|   2|    |
|                   BRASSMONKEY|                          Brass Monkey|   3|   2|  x |
|         DARKANDSTORMYWITHLIME|             Dark and Stormy with lime|   3|   2|  x |
|                     GODFATHER|                             Godfather|   2|   1|    |
|                     REDPLANET|                            Red Planet|   3|   2|  x |
|                      ALBERTVI|                             Albert VI|   3|   2|  x |
|               AMARETTOSUNRISE|                      Amaretto Sunrise|   3|   2|    |
|                      KAMIKAZE|                              Kamikaze|   3|   2|    |
|                 DARKANDSTORMY|                       Dark and Stormy|   2|   2|  x |
|                   TEQUILASHOT|                               Tequila|   1|   0|    |
|                  VODKAMARTINI|                         Vodka Martini|   2|   1|    |
|                      MOONWALK|                              Moonwalk|   3|   1|    |
|              GINBUCKWITHLEMON|                 Gin Buck (sub. lemon)|   3|   2|    |
|                TEQUILASUNRISE|                       Tequila Sunrise|   3|   2|    |
|            CHURCHILLWITHLEMON|                Churchill (sub. lemon)|   4|   1|    |
|            REDSNAPPERCOCKTAIL|                  Red Snapper Cocktail|   3|   2|    |
|                       MARTINI|                               Martini|   2|   1|    |
|                    BLUELAGOON|                           Blue Lagoon|   3|   2|    |
|                        GINADO|                                Ginado|   5|   2|    |
|                     BRAVEBULL|                            Brave Bull|   2|   1|    |
|                    BLACKMAGIC|                           Black Magic|   3|   1|    |
|                   WHISKEYSOUR|                          Whiskey Sour|   2|   1|    |
|                       GINSHOT|                                   Gin|   1|   0|    |
|              CARIBBEANSUNRISE|                     Caribbean Sunrise|   3|   2|    |
|                 BRITISHCOWBOY|                        British Cowboy|   4|   2|    |
|                      GUARAGIN|                              Guaragin|   2|   2|    |
|            BLACKMAGICWITHLIME|               Black Magic (sub. lime)|   3|   1|  x |
|  LONGISLANDICEDTEAWITHDARKRUM|  Long Island Iced Tea (sub. dark rum)|   7|   2|    |
|   LONGBEACHICEDTEAWITHDARKRUM|   Long Beach Iced Tea (sub. dark rum)|   6|   2|    |
|                   VODKAGIMLET|                          Vodka Gimlet|   2|   1|  x |
|                    CAPECODDER|                           Cape Codder|   3|   2|  x |
|                          COKE|                             Coca-Cola|   1|   2|    |
|                  KAMIKAZESHOT|                         Kamikaze Shot|   3|   0|    |
|      LOUNGELIZARDWITHLIGHTRUM|        Lounge Lizard (sub. light rum)|   3|   2|    |
|                     MARGARITA|                             Margarita|   3|   2|    |
|                   PALEBLUEDOT|                         Pale Blue Dot|   2|   2|    |
|                   SCREWDRIVER|                           Screwdriver|   2|   2|  x |
|               ELECTRICICEDTEA|                     Electric Iced Tea|   6|   2|    |
|                        REDRUM|                                REDRUM|   3|   2|    |
|                    CUBANSCREW|                           Cuban Screw|   2|   2|    |
|                        GIMLET|                                Gimlet|   2|   1|    |
|               AMARETTOSOURMIX|     Amaretto Sour (sub. sweet & sour)|   2|   1|    |
|                     GODMOTHER|                             Godmother|   2|   1|    |
|                  MEXICANSCREW|                         Mexican Screw|   2|   2|    |
|                  SCALPSUNRISE|                         Scalp Sunrise|   3|   2|    |
+------------------------------------------------------------------------------------+
