+---------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                    CHURCHILL|                                                        WHISKEY 2.5oz VERMOUTH 0.83oz LIMEJUICE 0.83oz ORANGELIQUEUR 0.83oz |    |
|            KAMIKAZEWITHLEMON|                                                                          VODKA 1.7oz ORANGE LIQUEUR 1.7oz LEMONJUICE 1.7oz |    |
|              AMARETTOSOURMIX|                                                                                   AMARETTOLIQUEUR 3.8oz SWEETANDSOUR 1.2oz |    |
|                    BRAVEBULL|                                                                                          TEQUILA 3.8oz COFFEELIQUEUR 1.2oz |    |
|          CAPECODDERWITHLEMON|                                                                         VODKA 2.2oz CRANBERRYJUICE 4.4oz LEMONJUICE 0.37oz |    |
|                  TEQUILASHOT|                                                                                                                TEQUILA 3oz |    |
|             CARIBBEANSUNRISE|                                                                           LIGHTRUM 2.1oz ORANGEJUICE 4.2oz GRENADINE 0.7oz |    |
|       DARKANDSTORMYWITHLEMON|                                                                           DARKRUM 1.6oz GINGERBEER 4.7oz LEMONJUICE 0.78oz |    |
|                 KAMIKAZESHOT|                                                                          VODKA 2.2oz ORANGELIQUEUR 0.55oz LIMEJUICE 0.27oz |    |
|        CUBANSCREWWITHDARKRUM|                                                                                            DARKRUM 2.3oz ORANGEJUICE 4.7oz |    |
|        DARKANDSTORMYWITHLIME|                                                                            DARKRUM 1.6oz GINGERBEER 4.7oz LIMEJUICE 0.78oz |    |
|                   CUBANSCREW|                                                                                           LIGHTRUM 2.3oz ORANGEJUICE 4.7oz |    |
|                APEROLSUNRISE|                                                                        TEQUILA 2.1oz ORANGEJUICE 4.2oz ORANGELIQUEUR 0.7oz |    |
|             LONGBEACHICEDTEA|                              VODKA 1.3oz LIGHTRUM 1.3oz GIN 1.3oz ORANGE LIQUEUR 1.3oz TEQUILA 1.3oz CRANBERRYJUICE 0.33oz |    |
|        COSMOPOLITANWITHLEMON|                                                      VODKA 2oz ORANGELIQUEUR 0.75oz LEMONJUICE 0.75oz CRANBERRYJUICE 1.5oz |    |
|              GIMLETWITHLEMON|                                                                                                     GIN 4oz LEMONJUICE 1oz |    |
|                        MANDM|                                                                                AMARETTOLIQUEUER 1.5oz COFFEELIQUEUER 1.5oz |    |
|                  ZEROGRAVITY|                                                                         WHISKEY 2.5oz BLUEBERRYJUICE 1.2oz LIMEJUICE 1.2oz |  x |
|  CARIBBEANSUNRISEWITHDARKRUM|                                                                            DARKRUM 2.1oz ORANGEJUICE 4.2oz GRENADINE 0.7oz |    |
|                   MOSCOWMULE|                                                                              VODKA 1.7oz GINGERBEER 2.5oz LIMEJUICE 0.83oz |    |
|                  VODKAGIMLET|                                                                                                    VODKA 4oz LIMEJUICE 1oz |    |
|        CUBALIBREWITHLIGHTRUM|                                                                                 LIGHTRUM 2.2oz COKE 4.3oz LIMEJUICE 0.54oz |    |
|              AMARETTOSUNRISE|                                                                    AMARETTOLIQUEUR 2.1oz ORANGEJUICE 4.2oz GRENADINE 0.7oz |    |
|                 LIGHTRUMSHOT|                                                                                                               LIGHTRUM 3oz |    |
|                     ALBERTVI|                                                                                DARKRUM 1.2oz VODKA 1.2oz ORANGEJUICE 4.7oz |  x |
|                 VODKAMARTINI|                                                                                                 VODKA 3.9oz VERMOUTH 1.1oz |    |
|                  PALEBLUEDOT|                                                                                      IRISHCREAM 3.8oz BLUEBERRYJUICE 1.2oz |    |
|         WHISKEYSOURWITHLEMON|                                                                                                 WHISKEY 3oz LEMONJUICE 2oz |    |
|         AMARETTOSOURWITHLIME|                                                                                      AMARETTOLIQUEUR 3.3oz LIMEJUICE 1.7oz |    |
|               WHISKEYANDCOKE|                                                                                                   WHISKEY 1.8oz COKE 5.2oz |    |
|          GINGINMULEWITHLEMON|                                                                               GIN 1.7oz GINGERBEER 2.5oz LEMONJUICE 0.83oz |    |
|         VODKAGIMLETWITHLEMON|                                                                                                   VODKA 4oz LEMONJUICE 1oz |    |
|                    GODFATHER|                                                                                        AMARETTOLIQUEUR 2.5oz WHISKEY 2.5oz |    |
|                     KAMIKAZE|                                                                           VODKA 1.7oz ORANGE LIQUEUR 1.7oz LIMEJUICE 1.7oz |    |
|        LEFTHANDEDSCREWDRIVER|                                                                                                GIN 2.3oz ORANGEJUICE 4.7oz |    |
|       RUMANDCOKEWITHLIGHTRUM|                                                                                                  LIGHTRUM 2.3oz COKE 4.7oz |    |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+
