+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                  GINANDTONIC|                                                                                                                     GIN 1.9oz TONICWATER 3.8oz |    |
|         AMARETTOSOURWITHLIME|                                                                                                              AMARETTOLIQUEUR 2oz LIMEJUICE 1oz |    |
|                 SILVERBULLET|                                                                                                                       GIN 1.3oz WHISKEY 0.67oz |    |
|             LONGBEACHICEDTEA|                                                   VODKA 1.1oz LIGHTRUM 1.1oz GIN 1.1oz ORANGELIQUEUR 1.1oz TEQUILA 1.1oz CRANBERRYJUICE 0.27oz |    |
|                   SOLARFLARE|                                                                           VODKA 1.6oz ORANGEJUICE 2.8oz LIMEJUICE 0.79oz CRANBERRYJUICE 0.59oz |  x |
|               VODKACRANBERRY|                                                                                                               VODKA 1.9oz CRANBERRYJUICE 3.8oz |  x |
|                    CUBALIBRE|                                                                                                      DARKRUM 1.8oz COKE 3.5oz LIMEJUICE 0.44oz |    |
|                    BLACKHOLE|                                                                             DARKRUM 1.7oz BLUECURACAO 1oz CRANBERRYJUICE 2.5oz LIMEJUICE 0.5oz |    |
|        COSMOPOLITANWITHLEMON|                                                                        VODKA 2.3oz ORANGELIQUEUR 0.86oz LEMONJUICE 0.86oz CRANBERRYJUICE 1.7oz |    |
|                  BRASSMONKEY|                                                                                                    DARKRUM 1.4oz VODKA 1.4oz ORANGEJUICE 2.9oz |  x |
|        DARKANDSTORMYWITHLIME|                                                                                                DARKRUM 1.9oz GINGERBEER 3.2oz LIMEJUICE 0.64oz |  x |
|                    GODFATHER|                                                                                                            AMARETTOLIQUEUR 1.5oz WHISKEY 1.5oz |    |
|                    REDPLANET|                                                                                              VODKA 1.7oz CRANBERRYJUICE 3.5oz LIMEJUICE 0.57oz |  x |
|                     ALBERTVI|                                                                                                  DARKRUM 0.96oz VODKA 0.96oz ORANGEJUICE 3.8oz |  x |
|              AMARETTOSUNRISE|                                                                                       AMARETTOLIQUEUR 1.7oz ORANGEJUICE 3.5oz GRENADINE 0.57oz |    |
|                     KAMIKAZE|                                                                                                VODKA 1.9oz ORANGELIQUEUR 1.9oz LIMEJUICE 1.9oz |  x |
|                DARKANDSTORMY|                                                                                                                 DARKRUM 1.9oz GINGERBEER 3.8oz |  x |
|                  TEQUILASHOT|                                                                                                                                    TEQUILA 2oz |    |
|                 VODKAMARTINI|                                                                                                                    VODKA 2.4oz VERMOUTH 0.64oz |    |
|                     MOONWALK|                                                                                                   VODKA 0.82oz WHISKEY 0.82oz IRISHCREAM 1.4oz |    |
|             GINBUCKWITHLEMON|                                                                                                   GIN 1.9oz GINGERBEER 2.9oz LEMONJUICE 0.96oz |    |
|               TEQUILASUNRISE|                                                                                               TEQUILA 1.7oz ORANGEJUICE 3.5oz GRENADINE 0.57oz |    |
|           CHURCHILLWITHLEMON|                                                                              WHISKEY 1.5oz VERMOUTH 0.5oz LEMONJUICE 0.5oz ORANGELIQUEUR 0.5oz |    |
|           REDSNAPPERCOCKTAIL|                                                                                       WHISKEY 1.4oz AMARETTOLIQUEUR 1.4oz CRANBERRYJUICE 2.9oz |    |
|                      MARTINI|                                                                                                                      GIN 2.4oz VERMOUTH 0.64oz |    |
