+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                                                  INGREDIENTS|MAKE|
|        DARKANDSTORMYWITHLIME|                                                                              DARKRUM 0.67oz GINGERBEER 2oz LIMEJUICE 0.33oz |    |
|                    GODFATHER|                                                                                         AMARETTOLIQUEUR 1.5oz WHISKEY 1.5oz |    |
|                    REDPLANET|                                                                            VODKA 0.9oz CRANBERRYJUICE 1.8oz LIMEJUICE 0.3oz |  x |
|                     ALBERTVI|                                                                                   DARKRUM 0.5oz VODKA 0.5oz ORANGEJUICE 2oz |  x |
|              AMARETTOSUNRISE|                                                                     AMARETTOLIQUEUR 0.9oz ORANGEJUICE 1.8oz GRENADINE 0.3oz |    |
|                     KAMIKAZE|                                                                                   VODKA 1oz ORANGELIQUEUR 1oz LIMEJUICE 1oz |    |
|                DARKANDSTORMY|                                                                                             DARKRUM 0.75oz GINGERBEER 2.2oz |    |
|                  TEQUILASHOT|                                                                                                                 TEQUILA 2oz |    |
|                 VODKAMARTINI|                                                                                                 VODKA 2.4oz VERMOUTH 0.64oz |    |
|                     MOONWALK|                                                                                VODKA 0.82oz WHISKEY 0.82oz IRISHCREAM 1.4oz |    |
|               TEQUILASUNRISE|                                                                             TEQUILA 0.9oz ORANGEJUICE 1.8oz GRENADINE 0.3oz |    |
|           CHURCHILLWITHLEMON|                                                           WHISKEY 1.5oz VERMOUTH 0.5oz LEMONJUICE 0.5oz ORANGELIQUEUR 0.5oz |    |
|                      MARTINI|                                                                                                   GIN 2.4oz VERMOUTH 0.64oz |    |
|                   BLUELAGOON|                                                                                  VODKA 0.5oz BLUECURACAO 0.5oz LEMONADE 2oz |    |
|                       GINADO|                                      GIN 0.75oz ORANGELIQUEUR 0.25oz CRANBERRYJUICE 0.25oz ORANGEJUICE 1oz LIMEJUICE 0.75oz |    |
|                    BRAVEBULL|                                                                                          TEQUILA 2.2oz COFFEELIQUEUR 0.75oz |    |
|                   BLACKMAGIC|                                                                              VODKA 2oz COFFEELIQUEUR 0.8oz LEMONJUICE 0.2oz |    |
|                  WHISKEYSOUR|                                                                                            WHISKEY 1.5oz SWEETANDSOUR 1.5oz |    |
|          GINGINMULEWITHLEMON|                                                                                   GIN 1oz GINGERBEER 1.5oz LEMONJUICE 0.5oz |    |
|                      GINSHOT|                                                                                                                     GIN 2oz |    |
|             CARIBBEANSUNRISE|                                                                            LIGHTRUM 0.9oz ORANGEJUICE 1.8oz GRENADINE 0.3oz |    |
|                BRITISHCOWBOY|                                                               GIN 1oz GRAPEFRUITJUICE 0.67oz ORANGEJUICE 1oz DARKRUM 0.33oz |  x |
|           BLACKMAGICWITHLIME|                                                                               VODKA 2oz COFFEELIQUEUR 0.8oz LIMEJUICE 0.2oz |  x |
| LONGISLANDICEDTEAWITHDARKRUM|                    VODKA 0.44oz DARKRUM 0.44oz GIN 0.44oz TEQUILA 0.44oz ORANGELIQUEUR 0.44oz COKE 0.11oz SWEETNSOUR 0.67oz |    |
|  LONGBEACHICEDTEAWITHDARKRUM|                            VODKA 0.57oz DARKRUM 0.57oz GIN 0.57oz ORANGELIQUEUR 0.57oz TEQUILA 0.57oz CRANBERRYJUICE 0.14oz |    |
|                  VODKAGIMLET|                                                                                                 VODKA 2.4oz LIMEJUICE 0.6oz |  x |
|                   CAPECODDER|                                                                          VODKA 0.95oz CRANBERRYJUICE 1.9oz LIMEJUICE 0.16oz |  x |
|                 KAMIKAZESHOT|                                                                           VODKA 1.5oz ORANGELIQUEUR 0.36oz LIMEJUICE 0.18oz |    |
|     LOUNGELIZARDWITHLIGHTRUM|                                                                           AMARETTOLIQUEUR 0.27oz LIGHTRUM 0.55oz COKE 2.2oz |    |
|                    MARGARITA|                                                                         TEQUILA 1.5oz LIMEJUICE 0.64oz ORANGELIQUEUR 0.86oz |    |
|                  PALEBLUEDOT|                                                                                      IRISHCREAM 2.2oz BLUEBERRYJUICE 0.75oz |    |
|                  SCREWDRIVER|                                                                                                   VODKA 1oz ORANGEJUICE 2oz |  x |
|                   CUBANSCREW|                                                                                                LIGHTRUM 1oz ORANGEJUICE 2oz |    |
|                       GIMLET|                                                                                                   GIN 2.4oz LIMEJUICE 0.6oz |  x |
|              AMARETTOSOURMIX|                                                                                   AMARETTOLIQUEUR 2.2oz SWEETANDSOUR 0.75oz |    |
|                    GODMOTHER|                                                                                               AMARETTOLIQUEUR 1oz VODKA 2oz |    |
|                 MEXICANSCREW|                                                                                                 TEQUILA 1oz ORANGEJUICE 2oz |    |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
