+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                                             INGREDIENTS|MAKE|
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                        MANDM|                                                                                AMARETTOLIQUEUER 1oz COFFEELIQUEUER 1oz |    |
|       DARKANDSTORMYWITHLEMON|                                                                        DARKRUM 1.5oz GINGERBEER 2.5oz LEMONJUICE 0.5oz |    |
|    BRAZILIANDREAMWITHDARKRUM|                                                                      GUARANASODA 2.7oz DARKRUM 0.9oz ORANGEJUICE 0.9oz |    |
|                 LOUNGELIZARD|                                                                       AMARETTOLIQUEUR 0.41oz DARKRUM 0.82oz COKE 3.3oz |    |
|                    CHURCHILL|                                                    WHISKEY 1.8oz VERMOUTH 0.58oz LIMEJUICE 0.58oz ORANGELIQUEUR 0.58oz |    |
|                 VODKASUNRISE|                                                                         VODKA 1.4oz ORANGEJUICE 2.7oz GRENADINE 0.45oz |    |
|          MOSCOWMULEWITHLEMON|                                                                         VODKA 1.5oz GINGERBEER 2.2oz LEMONJUICE 0.75oz |    |
|                BARBOTSUNRISE|                                                          VODKA 1oz GRAPEFRUITJUICE 1oz ORANGEJUICE 2oz LIMEJUICE 0.5oz |    |
|         VODKAGIMLETWITHLEMON|                                                                                           VODKA 2.8oz LEMONJUICE 0.7oz |    |
|                 BLACKRUSSIAN|                                                                                          VODKA 2.5oz COFFEELIQUEUR 1oz |  x |
|                    VODKASHOT|                                                                                                              VODKA 2oz |    |
|                 LIGHTRUMSHOT|                                                                                                           LIGHTRUM 2oz |    |
|                   REDSNAPPER|                                                            WHISKEY 0.67oz AMARETTOLIQUEUR 0.67oz CRANBERRYJUICE 0.67oz |    |
|        LEFTHANDEDSCREWDRIVER|                                                                                              GIN 1.5oz ORANGEJUICE 3oz |    |
|                  FRENCHSCREW|                                                                                           COGNAC 1.5oz ORANGEJUICE 3oz |    |
