+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                                                  INGREDIENTS|MAKE|
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+
|         WHISKEYSOURWITHLEMON|                                                                                              WHISKEY 1.8oz LEMONJUICE 1.2oz |    |
|                BARBOTSUNRISE|                                                      VODKA 0.67oz GRAPEFRUITJUICE 0.67oz ORANGEJUICE 1.3oz LIMEJUICE 0.33oz |    |
|                   MOSCOWMULE|                                                                                  VODKA 1oz GINGERBEER 1.5oz LIMEJUICE 0.5oz |  x |
|                      MARTINI|                                                                                                       GIN 11oz VERMOUTH 3oz |    |
|               BRAZILIANDREAM|                                                                          GUARANASODA 1.8oz LIGHTRUM 0.6oz ORANGEJUICE 0.6oz |    |
|                 VODKASUNRISE|                                                                               VODKA 0.9oz ORANGEJUICE 1.8oz GRENADINE 0.3oz |    |
|                 AMARETTOSOUR|                                                                                          AMARETTOLIQUEUR 2oz LEMONJUICE 1oz |    |
|                  WHISKEYSOUR|                                                                                            WHISKEY 1.5oz SWEETANDSOUR 1.5oz |    |
|                     GUARAGIN|                                                                                                 GUARANASODA 2.5oz GIN 0.5oz |    |
|                 LOUNGELIZARD|                                                                            AMARETTOLIQUEUR 0.27oz DARKRUM 0.55oz COKE 2.2oz |    |
|                   BLACKMAGIC|                                                                                VODKA 5oz COFFEELIQUEUR 2oz LEMONJUICE 0.5oz |    |
|                 SCALPSUNRISE|                                                                         GUARANASODA 1.5oz TEQUILA 0.59oz ORANGEJUICE 0.91oz |    |
|     LOUNGELIZARDWITHLIGHTRUM|                                                                           AMARETTOLIQUEUR 0.27oz LIGHTRUM 0.55oz COKE 2.2oz |    |
|          CAPECODDERWITHLEMON|                                                                         VODKA 0.95oz CRANBERRYJUICE 1.9oz LEMONJUICE 0.16oz |    |
|                        MANDM|                                                                                     AMARETTOLIQUEUER 1oz COFFEELIQUEUER 1oz |    |
|                    CUBALIBRE|                                                                                  DARKRUM 0.92oz COKE 1.8oz LIMEJUICE 0.23oz |    |
|        DARKANDSTORMYWITHLIME|                                                                              DARKRUM 0.67oz GINGERBEER 2oz LIMEJUICE 0.33oz |  x |
|            KAMIKAZEWITHLEMON|                                                                                  VODKA 1oz ORANGELIQUEUR 1oz LEMONJUICE 1oz |    |
|                 VODKAMARTINI|                                                                                                     VODKA 11oz VERMOUTH 3oz |    |
