+------------------------------------------------------------------------------------+
|                           KEY|                                  NAME|INGR|TYPE|MAKE|
|                  LIGHTRUMSHOT|                             Light Rum|   1|   0|    |
|                      ALBERTVI|                             Albert VI|   3|   2|  x |
|                  VODKAMARTINI|                         Vodka Martini|   2|   1|    |
|                   PALEBLUEDOT|                         Pale Blue Dot|   2|   1|  x |
|          WHISKEYSOURWITHLEMON|             Whiskey Sour (sub. lemon)|   2|   1|    |
|          AMARETTOSOURWITHLIME|             Amaretto Sour (sub. lime)|   2|   1|    |
|                WHISKEYANDCOKE|                      Whiskey and Coke|   2|   2|    |
|           GINGINMULEWITHLEMON|             Gin-Gin Mule (sub. lemon)|   3|   1|    |
|          VODKAGIMLETWITHLEMON|             Vodka Gimlet (sub. lemon)|   2|   1|    |
|                     GODFATHER|                             Godfather|   2|   1|    |
|                      KAMIKAZE|                              Kamikaze|   3|   1|    |
|         LEFTHANDEDSCREWDRIVER|               Left Handed Screwdriver|   2|   2|    |
|        RUMANDCOKEWITHLIGHTRUM|           Rum & Coke (sub. light rum)|   2|   2|    |
+------------------------------------------------------------------------------------+
