+------------------------------------------------------------------------------------+
|                           KEY|                                  NAME|INGR|TYPE|MAKE|
+------------------------------------------------------------------------------------+
|                         MANDM|                                   M&M|   2|   0|    |
|        DARKANDSTORMYWITHLEMON|            Dark and Stormy with lemon|   3|   2|    |
|     BRAZILIANDREAMWITHDARKRUM|       Brazilian Dream (sub.dark rum) |   3|   2|    |
|                KNITTINGCIRCLE|                       Knitting Circle|   2|   2|  x |
|                  LOUNGELIZARD|                         Lounge Lizard|   3|   2|    |
|                     CHURCHILL|                             Churchill|   4|   1|    |
|                  VODKASUNRISE|                         Vodka Sunrise|   3|   2|    |
|           MOSCOWMULEWITHLEMON|              Moscow Mule (sub. lemon)|   3|   2|    |
|                 BARBOTSUNRISE|                        BarBot Sunrise|   4|   2|    |
|          VODKAGIMLETWITHLEMON|             Vodka Gimlet (sub. lemon)|   2|   1|    |
|                  BLACKRUSSIAN|                         Black Russian|   2|   1|    |
|                     VODKASHOT|                                 Vodka|   1|   0|    |
|                      KINGSTON|                              Kingston|   4|   2|  x |
|           SANTABARBARACHANNEL|                 Santa Barbara Channel|   5|   2|  x |
|                  LIGHTRUMSHOT|                             Light Rum|   1|   0|    |
|                    REDSNAPPER|                           Red Snapper|   3|   0|    |
|         LEFTHANDEDSCREWDRIVER|               Left Handed Screwdriver|   2|   2|    |
|                   FRENCHSCREW|                          French Screw|   2|   2|    |
|              RUSSIANCOSMONAUT|                     Russian Cosmonaut|   4|   2|    |
|          WHISKEYSOURWITHLEMON|             Whiskey Sour (sub. lemon)|   2|   1|    |
|        RUMANDCOKEWITHLIGHTRUM|           Rum & Coke (sub. light rum)|   2|   2|    |
|                     GREYHOUND|                             Greyhound|   2|   2|    |
|              FRENCHCONNECTION|                     French Connection|   2|   1|    |
|                       GINBUCK|                              Gin Buck|   3|   2|    |
|                  RYEANDGINGER|                        Rye and Ginger|   2|   2|    |
|             KAMIKAZEWITHLEMON|                 Kamikaze (sub. lemon)|   3|   2|    |
|                   DARKRUMSHOT|                              Dark Rum|   1|   0|    |
|                    RUMANDCOKE|                            Rum & Coke|   2|   2|    |
|   CARIBBEANSUNRISEWITHDARKRUM|     Caribbean Sunrise (sub. dark rum)|   3|   2|    |
|                 BLUEMARGARITA|                        Blue Margarita|   3|   2|    |
|         CUBANSCREWWITHDARKRUM|                Cuban Screw (dark rum)|   2|   2|    |
|                      AMAZODKA|                              Amazodka|   2|   2|    |
|       BRASSMONKEYWITHLIGHTRUM|         Brass Monkey (sub. light rum)|   3|   2|    |
|                      DAIQUIRI|                              Daiquiri|   3|   1|    |
|             LONGISLANDICEDTEA|                  Long Island Iced Tea|   7|   2|    |
|                   TOOTSIEROLL|                          Tootsie Roll|   3|   0|    |
|                   PANGALACTIC|           Pan Galactic Gargle Blaster|   8|   2|    |
|                   WHISKEYSHOT|                               Whiskey|   1|   0|    |
|               GIMLETWITHLEMON|                   Gimlet (sub. lemon)|   2|   1|    |
|                       ICEDTEA|                              Iced Tea|   1|   2|    |
|           WHISKEYSOURWITHLIME|              Whiskey Sour (sub. lime)|   2|   1|    |
|                      ROYALTEA|                             Royal-Tea|   3|   2|  x |
|                  PANGALACTIC1|           Pan Galactic Gargle Blaster|   8|   2|    |
|                    MOSCOWMULE|                           Moscow Mule|   3|   2|    |
|                    BLUECOWBOY|                           Blue Cowboy|   2|   1|  x |
|                     SUPERNOVA|            Super Nova with Grapefruit|   4|   2|    |
|                    TIPSYQUEEN|                           Tipsy Queen|   3|   2|  x |
|                  AMARETTOSOUR|                         Amaretto Sour|   2|   1|    |
|                WHISKEYANDCOKE|                      Whiskey and Coke|   2|   2|    |
|                  ARNOLDPALMER|                         Arnold Palmer|   2|   2|    |
|                   ZEROGRAVITY|                          Zero Gravity|   3|   1|    |
|                 APEROLSUNRISE|                        Aperol Sunrise|   3|   2|    |
|                   GIN-GINMULE|                          Gin-Gin Mule|   3|   2|  x |
|           CAPECODDERWITHLEMON|              Cape Codder (sub. lemon)|   3|   2|    |
|            KEYWESTSCREWDRIVER|                  Key West Screwdriver|   3|   2|    |
|         CUBALIBREWITHLIGHTRUM|           Cuba Libre (sub. light rum)|   3|   2|    |
|                     MANHATTAN|                             Manhattan|   2|   1|    |
|                  COSMOPOLITAN|                          Cosmopolitan|   4|   2|    |
|                      JOHNDALY|                             John Daly|   3|   2|  x |
|                    HAIRYJERRY|                           Hairy Jerry|   2|   2|  x |
|                BRAZILIANDREAM|                       Brazilian Dream|   3|   2|    |
|                   GINANDTONIC|                         Gin and Tonic|   2|   2|    |
|          AMARETTOSOURWITHLIME|             Amaretto Sour (sub. lime)|   2|   1|    |
|                  SILVERBULLET|                         Silver Bullet|   2|   0|    |
|                      LEMONADE|                              Lemonade|   1|   2|    |
|              LONGBEACHICEDTEA|                   Long Beach Iced Tea|   6|   2|    |
|                    SOLARFLARE|                           Solar Flare|   4|   2|    |
|                VODKACRANBERRY|                       Vodka Cranberry|   2|   2|    |
|                     CUBALIBRE|                            Cuba Libre|   3|   2|    |
|                        WALKME|                Walk Me Down The Aisle|   6|   2|  x |
|                     BLACKHOLE|                            Black Hole|   4|   2|    |
|         COSMOPOLITANWITHLEMON|             Cosmopolitan (sub. lemon)|   4|   2|    |
|                   BRASSMONKEY|                          Brass Monkey|   3|   2|    |
|         DARKANDSTORMYWITHLIME|             Dark and Stormy with lime|   3|   2|    |
|                     GODFATHER|                             Godfather|   2|   1|    |
|                     REDPLANET|                            Red Planet|   3|   2|    |
|                      ALBERTVI|                             Albert VI|   3|   2|    |
|               AMARETTOSUNRISE|                      Amaretto Sunrise|   3|   2|    |
|                      KAMIKAZE|                              Kamikaze|   3|   2|    |
|                      BLUELADY|                             Blue Lady|   3|   2|  x |
|                 DARKANDSTORMY|                       Dark and Stormy|   2|   2|    |
|                   TEQUILASHOT|                               Tequila|   1|   0|    |
|                  VODKAMARTINI|                         Vodka Martini|   2|   1|    |
|                      MOONWALK|                              Moonwalk|   3|   1|    |
|                       JETFUEL|                              Jet Fuel|   3|   2|  x |
|              GINBUCKWITHLEMON|                 Gin Buck (sub. lemon)|   3|   2|    |
|                TEQUILASUNRISE|                       Tequila Sunrise|   3|   2|    |
|            CHURCHILLWITHLEMON|                Churchill (sub. lemon)|   4|   1|    |
|            REDSNAPPERCOCKTAIL|                  Red Snapper Cocktail|   3|   2|    |
|                       MARTINI|                               Martini|   2|   1|    |
|                    HORNEDFROG|                           Horned Frog|   4|   2|  x |
|                    BLUELAGOON|                           Blue Lagoon|   3|   2|  x |
|                        GINADO|                                Ginado|   5|   2|    |
|                     BRAVEBULL|                            Brave Bull|   2|   1|    |
|                    BLACKMAGIC|                           Black Magic|   3|   1|    |
|                   WHISKEYSOUR|                          Whiskey Sour|   2|   1|    |
|                       GINSHOT|                                   Gin|   1|   0|    |
|              CARIBBEANSUNRISE|                     Caribbean Sunrise|   3|   2|    |
|                 BRITISHCOWBOY|                        British Cowboy|   4|   2|    |
|                      GUARAGIN|                              Guaragin|   2|   2|    |
|            BLACKMAGICWITHLIME|               Black Magic (sub. lime)|   3|   1|    |
|  LONGISLANDICEDTEAWITHDARKRUM|  Long Island Iced Tea (sub. dark rum)|   7|   2|    |
|   LONGBEACHICEDTEAWITHDARKRUM|   Long Beach Iced Tea (sub. dark rum)|   6|   2|    |
|                   VODKAGIMLET|                          Vodka Gimlet|   2|   1|    |
|                        GAUCHO|                                Gaucho|   3|   2|  x |
|                    CAPECODDER|                           Cape Codder|   3|   2|    |
|                          COKE|                             Coca-Cola|   1|   2|    |
|                  KAMIKAZESHOT|                         Kamikaze Shot|   3|   0|    |
|      LOUNGELIZARDWITHLIGHTRUM|        Lounge Lizard (sub. light rum)|   3|   2|    |
|                     MARGARITA|                             Margarita|   3|   2|    |
|                   PALEBLUEDOT|                         Pale Blue Dot|   2|   2|    |
|             TROPICALSPICEDTEA|                   Tropical Spiced Tea|   3|   2|  x |
|                   SCREWDRIVER|                           Screwdriver|   2|   2|    |
|               ELECTRICICEDTEA|                     Electric Iced Tea|   6|   2|    |
|                        REDRUM|                                REDRUM|   3|   2|    |
|     PANGALACTICWEDDINGBLASTER|           Pan Galactic Gargle Blaster|   8|   2|  x |
|                    CUBANSCREW|                           Cuban Screw|   2|   2|    |
|                        GIMLET|                                Gimlet|   2|   1|    |
|               AMARETTOSOURMIX|     Amaretto Sour (sub. sweet & sour)|   2|   1|    |
|                     BALLINGER|                             Ballinger|   4|   2|  x |
|                     GODMOTHER|                             Godmother|   2|   1|    |
|                  MEXICANSCREW|                         Mexican Screw|   2|   2|    |
|                  SCALPSUNRISE|                         Scalp Sunrise|   3|   2|    |
+------------------------------------------------------------------------------------+
