+------------------------------------------------------------------------------------+
|                           KEY|                                  NAME|INGR|TYPE|MAKE|
+------------------------------------------------------------------------------------+
|                  KAMIKAZESHOT|                              Kamikaze|   3|   0|    |
|                        GIMLET|                                Gimlet|   2|   1|    |
|         CUBALIBREWITHLIGHTRUM|           Cuba Libre (sub. light rum)|   3|   2|    |
|                WHISKEYANDCOKE|                      Whiskey and Coke|   2|   2|  x |
|            KEYWESTSCREWDRIVER|                  Key West Screwdriver|   3|   2|    |
|                         MANDM|                                   M&M|   2|   0|    |
|                    GINGINMULE|                          Gin-Gin Mule|   3|   1|    |
|                  LOUNGELIZARD|                         Lounge Lizard|   3|   2|    |
|                  RYEANDGINGER|                        Rye and Ginger|   2|   1|    |
|                    MOSCOWMULE|                           Moscow Mule|   3|   1|    |
|              LONGBEACHICEDTEA|                   Long Beach Iced Tea|   6|   2|    |
|                 APEROLSUNRISE|                        Aperol Sunrise|   3|   2|    |
|                  LIGHTRUMSHOT|                             Light Rum|   1|   0|  x |
|               AMARETTOSUNRISE|                      Amaretto Sunrise|   3|   2|    |
|          VODKAGIMLETWITHLEMON|             Vodka Gimlet (sub. lemon)|   2|   1|    |
|            BLACKMAGICWITHLIME|               Black Magic (sub. lime)|   3|   1|    |
|       BRASSMONKEYWITHLIGHTRUM|         Brass Monkey (sub. light rum)|   3|   2|    |
|                   TOOTSIEROLL|                          Tootsie Roll|   3|   0|    |
|                TEQUILASUNRISE|                       Tequila Sunrise|   3|   2|    |
|                     MANHATTAN|                             Manhattan|   2|   1|    |
|         COSMOPOLITANWITHLEMON|             Cosmopolitan (sub. lemon)|   4|   1|    |
|              FRENCHCONNECTION|                     French Connection|   2|   1|    |
|                     GREYHOUND|                             Greyhound|   2|   2|    |
|   LONGBEACHICEDTEAWITHDARKRUM|   Long Beach Iced Tea (sub. dark rum)|   6|   2|    |
|           GINGINMULEWITHLEMON|             Gin-Gin Mule (sub. lemon)|   3|   1|    |
|                    BLUELAGOON|                           Blue Lagoon|   3|   2|    |
|                   SCREWDRIVER|                           Screwdriver|   2|   2|    |
|               AMARETTOSOURMIX|     Amaretto Sour (sub. sweet & sour)|   2|   1|    |
|                      KAMIKAZE|                              Kamikaze|   3|   1|    |
|                   PANGALACTIC|           Pan Galactic Gargle Blaster|   6|   2|  x |
|        DARKANDSTORMYWITHLEMON|            Dark and Stormy with lemon|   3|   2|    |
|          AMARETTOSOURWITHLIME|             Amaretto Sour (sub. lime)|   2|   1|    |
|                  AMARETTOSOUR|                         Amaretto Sour|   2|   1|    |
|                   BRASSMONKEY|                          Brass Monkey|   3|   2|    |
|                   WHISKEYSHOT|                               Whiskey|   1|   0|  x |
|         CUBANSCREWWITHDARKRUM|           Cuban Screw (sub. dark rum)|   2|   2|    |
|                    REDSNAPPER|                           Red Snapper|   3|   0|    |
|           MOSCOWMULEWITHLEMON|              Moscow Mule (sub. lemon)|   3|   1|    |
|                  MEXICANSCREW|                         Mexican Screw|   2|   2|    |
|                     BRAVEBULL|                            Brave Bull|   2|   1|    |
|         DARKANDSTORMYWITHLIME|             Dark and Stormy with lime|   3|   2|    |
|           WHISKEYSOURWITHLIME|              Whiskey Sour (sub. lime)|   2|   1|    |
|        RUMANDCOKEWITHLIGHTRUM|           Rum & Coke (sub. light rum)|   2|   2|  x |
|                    CUBANSCREW|                           Cuban Screw|   2|   2|    |
|                    CAPECODDER|                           Cape Codder|   3|   2|    |
|                       GINSHOT|                                   Gin|   1|   0|    |
|                     MARGARITA|                             Margarita|   3|   1|    |
|                     CHURCHILL|                             Churchill|   4|   1|    |
|                     CUBALIBRE|                            Cuba Libre|   3|   2|    |
|                   VODKAGIMLET|                          Vodka Gimlet|   2|   1|    |
|                  VODKASUNRISE|                         Vodka Sunrise|   3|   2|    |
|                  VODKAMARTINI|                         Vodka Martini|   2|   1|    |
|                   WHISKEYSOUR|                          Whiskey Sour|   2|   1|  x |
|                     GODMOTHER|                             Godmother|   2|   1|    |
|         LEFTHANDEDSCREWDRIVER|               Left Handed Screwdriver|   2|   2|    |
|                    RUMANDCOKE|                            Rum & Coke|   2|   2|    |
|  LONGISLANDICEDTEAWITHDARKRUM|  Long Island Iced Tea (sub. dark rum)|   7|   2|    |
|              CARIBBEANSUNRISE|                     Caribbean Sunrise|   3|   2|    |
|                  COSMOPOLITAN|                          Cosmopolitan|   4|   1|    |
|                     VODKASHOT|                                 Vodka|   1|   0|  x |
|                     GODFATHER|                             Godfather|   2|   1|    |
|                    BLACKMAGIC|                           Black Magic|   3|   1|    |
|            CHURCHILLWITHLEMON|                Churchill (sub. lemon)|   4|   1|    |
|                  BLACKRUSSIAN|                         Black Russian|   2|   1|    |
|      LOUNGELIZARDWITHLIGHTRUM|        Lounge Lizard (sub. light rum)|   3|   2|    |
|             KAMIKAZEWITHLEMON|                 Kamikaze (sub. lemon)|   3|   1|    |
|                   FRENCHSCREW|                          French Screw|   2|   2|    |
|                  SILVERBULLET|                         Silver Bullet|   2|   0|    |
|                VODKACRANBERRY|                       Vodka Cranberry|   2|   2|  x |
|                       MARTINI|                               Martini|   2|   1|    |
|   CARIBBEANSUNRISEWITHDARKRUM|     Caribbean Sunrise (sub. dark rum)|   3|   2|    |
|                   DARKRUMSHOT|                              Dark Rum|   1|   0|    |
|          WHISKEYSOURWITHLEMON|             Whiskey Sour (sub. lemon)|   2|   1|    |
|                 DARKANDSTORMY|                       Dark and Stormy|   2|   2|    |
|                   TEQUILASHOT|                               Tequila|   1|   0|    |
|           CAPECODDERWITHLEMON|              Cape Codder (sub. lemon)|   3|   2|    |
|               GIMLETWITHLEMON|                   Gimlet (sub. lemon)|   2|   1|    |
+------------------------------------------------------------------------------------+
