+------------------------------------------------------------------------------------+
|                           KEY|                                  NAME|INGR|TYPE|MAKE|
+------------------------------------------------------------------------------------+
|                         MANDM|                                   M&M|   2|   0|    |
|        DARKANDSTORMYWITHLEMON|            Dark and Stormy with lemon|   3|   2|    |
|                  LOUNGELIZARD|                         Lounge Lizard|   3|   2|    |
|                     CHURCHILL|                             Churchill|   4|   1|    |
|                  VODKASUNRISE|                         Vodka Sunrise|   3|   2|    |
|           MOSCOWMULEWITHLEMON|              Moscow Mule (sub. lemon)|   3|   1|    |
|          VODKAGIMLETWITHLEMON|             Vodka Gimlet (sub. lemon)|   2|   1|    |
|                  BLACKRUSSIAN|                         Black Russian|   2|   1|    |
|                     VODKASHOT|                                 Vodka|   1|   0|    |
|                  LIGHTRUMSHOT|                             Light Rum|   1|   0|    |
|                    REDSNAPPER|                           Red Snapper|   3|   0|    |
|         LEFTHANDEDSCREWDRIVER|               Left Handed Screwdriver|   2|   2|  x |
|                   FRENCHSCREW|                          French Screw|   2|   2|    |
|              RUSSIANCOSMONAUT|                     Russian Cosmonaut|   4|   1|  x |
|          WHISKEYSOURWITHLEMON|             Whiskey Sour (sub. lemon)|   2|   1|    |
|        RUMANDCOKEWITHLIGHTRUM|           Rum & Coke (sub. light rum)|   2|   2|    |
|                     GREYHOUND|                             Greyhound|   2|   2|    |
|              FRENCHCONNECTION|                     French Connection|   2|   1|    |
|                  RYEANDGINGER|                        Rye and Ginger|   2|   1|    |
|             KAMIKAZEWITHLEMON|                 Kamikaze (sub. lemon)|   3|   1|    |
|                   DARKRUMSHOT|                              Dark Rum|   1|   0|    |
|                    RUMANDCOKE|                            Rum & Coke|   2|   2|    |
|   CARIBBEANSUNRISEWITHDARKRUM|     Caribbean Sunrise (sub. dark rum)|   3|   2|    |
|         CUBANSCREWWITHDARKRUM|           Cuban Screw (sub. dark rum)|   2|   2|  x |
|       BRASSMONKEYWITHLIGHTRUM|         Brass Monkey (sub. light rum)|   3|   2|  x |
|                   TOOTSIEROLL|                          Tootsie Roll|   3|   0|    |
|                   PANGALACTIC|           Pan Galactic Gargle Blaster|   7|   2|  x |
|                   WHISKEYSHOT|                               Whiskey|   1|   0|    |
|               GIMLETWITHLEMON|                   Gimlet (sub. lemon)|   2|   1|    |
|           WHISKEYSOURWITHLIME|              Whiskey Sour (sub. lime)|   2|   1|    |
|                    MOSCOWMULE|                           Moscow Mule|   3|   1|    |
|                     SUPERNOVA|                            Super Nova|   4|   2|    |
|                  AMARETTOSOUR|                         Amaretto Sour|   2|   1|    |
|                WHISKEYANDCOKE|                      Whiskey and Coke|   2|   2|    |
|                   ZEROGRAVITY|                          Zero Gravity|   3|   1|    |
|                 APEROLSUNRISE|                        Aperol Sunrise|   3|   2|    |
|                    GINGINMULE|                          Gin-Gin Mule|   3|   1|    |
|           CAPECODDERWITHLEMON|              Cape Codder (sub. lemon)|   3|   2|    |
|            KEYWESTSCREWDRIVER|                  Key West Screwdriver|   3|   2|  x |
|         CUBALIBREWITHLIGHTRUM|           Cuba Libre (sub. light rum)|   3|   2|    |
|                     MANHATTAN|                             Manhattan|   2|   1|    |
|                  COSMOPOLITAN|                          Cosmopolitan|   4|   1|  x |
|          AMARETTOSOURWITHLIME|             Amaretto Sour (sub. lime)|   2|   1|    |
|                  SILVERBULLET|                         Silver Bullet|   2|   0|    |
|              LONGBEACHICEDTEA|                   Long Beach Iced Tea|   6|   2|    |
|                    SOLARFLARE|                           Solar Flare|   4|   2|  x |
|                        ALBERT|                                Albert|   3|   2|    |
|                VODKACRANBERRY|                       Vodka Cranberry|   2|   2|  x |
|                     CUBALIBRE|                            Cuba Libre|   3|   2|    |
|                     BLACKHOLE|                            Black Hole|   4|   2|    |
|         COSMOPOLITANWITHLEMON|             Cosmopolitan (sub. lemon)|   4|   1|    |
|                   BRASSMONKEY|                          Brass Monkey|   3|   2|  x |
|         DARKANDSTORMYWITHLIME|             Dark and Stormy with lime|   3|   2|    |
|                     GODFATHER|                             Godfather|   2|   1|    |
|                     REDPLANET|                            Red Planet|   3|   2|  x |
|                      ALBERTVI|                             Albert VI|   3|   2|  x |
|               AMARETTOSUNRISE|                      Amaretto Sunrise|   3|   2|    |
|                      KAMIKAZE|                              Kamikaze|   3|   1|  x |
|                 DARKANDSTORMY|                       Dark and Stormy|   2|   2|    |
|                   TEQUILASHOT|                               Tequila|   1|   0|    |
|                  VODKAMARTINI|                         Vodka Martini|   2|   1|    |
|                      MOONWALK|                              Moonwalk|   3|   1|    |
|                TEQUILASUNRISE|                       Tequila Sunrise|   3|   2|    |
|            CHURCHILLWITHLEMON|                Churchill (sub. lemon)|   4|   1|    |
|                       MARTINI|                               Martini|   2|   1|    |
|                    BLUELAGOON|                           Blue Lagoon|   3|   2|    |
|                     BRAVEBULL|                            Brave Bull|   2|   1|    |
|                    BLACKMAGIC|                           Black Magic|   3|   1|    |
|                   WHISKEYSOUR|                          Whiskey Sour|   2|   1|    |
|           GINGINMULEWITHLEMON|             Gin-Gin Mule (sub. lemon)|   3|   1|    |
|                       GINSHOT|                                   Gin|   1|   0|    |
|              CARIBBEANSUNRISE|                     Caribbean Sunrise|   3|   2|    |
|            BLACKMAGICWITHLIME|               Black Magic (sub. lime)|   3|   1|    |
|  LONGISLANDICEDTEAWITHDARKRUM|  Long Island Iced Tea (sub. dark rum)|   7|   2|    |
|   LONGBEACHICEDTEAWITHDARKRUM|   Long Beach Iced Tea (sub. dark rum)|   6|   2|    |
|                   VODKAGIMLET|                          Vodka Gimlet|   2|   1|  x |
|                    CAPECODDER|                           Cape Codder|   3|   2|  x |
|                  KAMIKAZESHOT|                              Kamikaze|   3|   0|  x |
|      LOUNGELIZARDWITHLIGHTRUM|        Lounge Lizard (sub. light rum)|   3|   2|    |
|                     MARGARITA|                             Margarita|   3|   1|    |
|                   PALEBLUEDOT|                         Pale Blue Dot|   2|   1|    |
|                   SCREWDRIVER|                           Screwdriver|   2|   2|  x |
|                    CUBANSCREW|                           Cuban Screw|   2|   2|  x |
|                        GIMLET|                                Gimlet|   2|   1|  x |
|               AMARETTOSOURMIX|     Amaretto Sour (sub. sweet & sour)|   2|   1|    |
|                     GODMOTHER|                             Godmother|   2|   1|    |
|                  MEXICANSCREW|                         Mexican Screw|   2|   2|    |
+------------------------------------------------------------------------------------+
