+------------------------------------------------------------------------------------+
|                           KEY|                                  NAME|INGR|TYPE|MAKE|
|           MOSCOWMULEWITHLEMON|              Moscow Mule (sub. lemon)|   3|   1|    |
|                      ALBERTVI|                             Albert VI|   3|   2|  x |
|     BRAZILIANDREAMWITHDARKRUM|       Brazilian Dream (sub.dark rum) |   3|   1|  x |
|                   ZEROGRAVITY|                          Zero Gravity|   3|   1|    |
|                     CHURCHILL|                             Churchill|   4|4294967295|    |
|        RUMANDCOKEWITHLIGHTRUM|           Rum & Coke (sub. light rum)|   2|   2|    |
|                        GIMLET|                                Gimlet|   2|4294967295|    |
|                  LIGHTRUMSHOT|                             Light Rum|   1|   0|    |
|                   GINANDTONIC|                         Gin and Tonic|   0|   2|  x |
|                VODKACRANBERRY|                       Vodka Cranberry|   2|   2|    |
|         CUBANSCREWWITHDARKRUM|           Cuban Screw (sub. dark rum)|   2|   2|  x |
|                   SCREWDRIVER|                           Screwdriver|   2|   2|  x |
|                   BRASSMONKEY|                          Brass Monkey|   3|   2|  x |
|                      MOONWALK|                              Moonwalk|   3|   1|    |
|                    CAPECODDER|                           Cape Codder|   3|   2|    |
|                   VODKAGIMLET|                          Vodka Gimlet|   2|4294967295|    |
|              FRENCHCONNECTION|                     French Connection|   2|   1|    |
|             LONGISLANDICEDTEA|                  Long Island Iced Tea|   7|4294967295|    |
+------------------------------------------------------------------------------------+
