+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                                             INGREDIENTS|MAKE|
|                  BRASSMONKEY|                                                                            DARKRUM 1.4oz VODKA 1.4oz ORANGEJUICE 2.8oz |  x |
|        DARKANDSTORMYWITHLIME|                                                                        DARKRUM 1.2oz GINGERBEER 3.7oz LIMEJUICE 0.61oz |    |
|                    GODFATHER|                                                                                        AMARETTOLIQUEUR 2oz WHISKEY 2oz |    |
|                    REDPLANET|                                                                      VODKA 1.7oz CRANBERRYJUICE 3.3oz LIMEJUICE 0.55oz |  x |
|                     ALBERTVI|                                                                          DARKRUM 0.92oz VODKA 0.92oz ORANGEJUICE 3.7oz |  x |
|              AMARETTOSUNRISE|                                                               AMARETTOLIQUEUR 1.7oz ORANGEJUICE 3.3oz GRENADINE 0.55oz |    |
|                     KAMIKAZE|                                                                        VODKA 1.3oz ORANGELIQUEUR 1.3oz LIMEJUICE 1.3oz |  x |
|                DARKANDSTORMY|                                                                                         DARKRUM 1.4oz GINGERBEER 4.1oz |    |
|                  TEQUILASHOT|                                                                                                            TEQUILA 2oz |    |
|                 VODKAMARTINI|                                                                                            VODKA 3.1oz VERMOUTH 0.86oz |    |
|                     MOONWALK|                                                                             VODKA 1.1oz WHISKEY 1.1oz IRISHCREAM 1.8oz |    |
|               TEQUILASUNRISE|                                                                       TEQUILA 1.7oz ORANGEJUICE 3.3oz GRENADINE 0.55oz |    |
|           CHURCHILLWITHLEMON|                                                     WHISKEY 2oz VERMOUTH 0.67oz LEMONJUICE 0.67oz ORANGELIQUEUR 0.67oz |    |
|                      MARTINI|                                                                                              GIN 3.1oz VERMOUTH 0.86oz |    |
|                   BLUELAGOON|                                                                         VODKA 0.92oz BLUECURACAO 0.92oz LEMONADE 3.7oz |    |
|                    BRAVEBULL|                                                                                          TEQUILA 3oz COFFEELIQUEUR 1oz |    |
|                   BLACKMAGIC|                                                                      VODKA 2.7oz COFFEELIQUEUR 1.1oz LEMONJUICE 0.27oz |    |
|                  WHISKEYSOUR|                                                                                           WHISKEY 2oz SWEETANDSOUR 2oz |    |
|          GINGINMULEWITHLEMON|                                                                             GIN 1.3oz GINGERBEER 2oz LEMONJUICE 0.67oz |    |
|                      GINSHOT|                                                                                                                GIN 2oz |    |
|             CARIBBEANSUNRISE|                                                                      LIGHTRUM 1.7oz ORANGEJUICE 3.3oz GRENADINE 0.55oz |    |
|           BLACKMAGICWITHLIME|                                                                       VODKA 2.7oz COFFEELIQUEUR 1.1oz LIMEJUICE 0.27oz |    |
| LONGISLANDICEDTEAWITHDARKRUM|                 VODKA 0.81oz DARKRUM 0.81oz GIN 0.81oz TEQUILA 0.81oz ORANGELIQUEUR 0.81oz COKE 0.2oz SWEETNSOUR 1.2oz |    |
|  LONGBEACHICEDTEAWITHDARKRUM|                                      VODKA 1oz DARKRUM 1oz GIN 1oz ORANGELIQUEUR 1oz TEQUILA 1oz CRANBERRYJUICE 0.26oz |    |
|                  VODKAGIMLET|                                                                                            VODKA 3.2oz LIMEJUICE 0.8oz |  x |
|                   CAPECODDER|                                                                      VODKA 1.7oz CRANBERRYJUICE 3.5oz LIMEJUICE 0.29oz |  x |
|                 KAMIKAZESHOT|                                                                      VODKA 1.5oz ORANGELIQUEUR 0.36oz LIMEJUICE 0.18oz |  x |
|     LOUNGELIZARDWITHLIGHTRUM|                                                                            AMARETTOLIQUEUR 0.5oz LIGHTRUM 1oz COKE 4oz |    |
|                    MARGARITA|                                                                       TEQUILA 2oz LIMEJUICE 0.86oz ORANGELIQUEUR 1.1oz |    |
|                  PALEBLUEDOT|                                                                                      IRISHCREAM 3oz BLUEBERRYJUICE 1oz |    |
|                  SCREWDRIVER|                                                                                          VODKA 1.8oz ORANGEJUICE 3.7oz |  x |
|                   CUBANSCREW|                                                                                       LIGHTRUM 1.8oz ORANGEJUICE 3.7oz |    |
|                       GIMLET|                                                                                              GIN 3.2oz LIMEJUICE 0.8oz |  x |
|              AMARETTOSOURMIX|                                                                                   AMARETTOLIQUEUR 3oz SWEETANDSOUR 1oz |    |
|                    GODMOTHER|                                                                                      AMARETTOLIQUEUR 1.3oz VODKA 2.7oz |    |
|                 MEXICANSCREW|                                                                                        TEQUILA 1.8oz ORANGEJUICE 3.7oz |    |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
