+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|       DARKANDSTORMYWITHLEMON|                                                                                     DARKRUM 1.8oz GINGERBEER 5.3oz LEMONJUICE 0.89oz |    |
|                 KAMIKAZESHOT|                                                                                    VODKA 2.9oz ORANGELIQUEUR 0.73oz LIMEJUICE 0.36oz |    |
|        CUBANSCREWWITHDARKRUM|                                                                                                      DARKRUM 2.7oz ORANGEJUICE 5.3oz |  x |
|        DARKANDSTORMYWITHLIME|                                                                                      DARKRUM 1.8oz GINGERBEER 5.3oz LIMEJUICE 0.89oz |    |
|                   CUBANSCREW|                                                                                                     LIGHTRUM 2.7oz ORANGEJUICE 5.3oz |    |
|                APEROLSUNRISE|                                                                                  TEQUILA 2.4oz ORANGEJUICE 4.8oz ORANGELIQUEUR 0.8oz |    |
|             LONGBEACHICEDTEA|                                        VODKA 1.5oz LIGHTRUM 1.5oz GIN 1.5oz ORANGE LIQUEUR 1.5oz TEQUILA 1.5oz CRANBERRYJUICE 0.38oz |    |
|        COSMOPOLITANWITHLEMON|                                                                VODKA 3.2oz ORANGELIQUEUR 1.2oz LEMONJUICE 1.2oz CRANBERRYJUICE 2.4oz |    |
|              GIMLETWITHLEMON|                                                                                                           GIN 6.4oz LEMONJUICE 1.6oz |    |
|                        MANDM|                                                                                              AMARETTOLIQUEUER 2oz COFFEELIQUEUER 2oz |    |
|  CARIBBEANSUNRISEWITHDARKRUM|                                                                                      DARKRUM 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                   MOSCOWMULE|                                                                                           VODKA 2.7oz GINGERBEER 4oz LIMEJUICE 1.3oz |    |
|                  VODKAGIMLET|                                                                                                          VODKA 6.4oz LIMEJUICE 1.6oz |  x |
|        CUBALIBREWITHLIGHTRUM|                                                                                           LIGHTRUM 2.5oz COKE 4.9oz LIMEJUICE 0.62oz |    |
|              AMARETTOSUNRISE|                                                                              AMARETTOLIQUEUR 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                 LIGHTRUMSHOT|                                                                                                                         LIGHTRUM 4oz |    |
|                 VODKAMARTINI|                                                                                                           VODKA 6.3oz VERMOUTH 1.7oz |    |
|         WHISKEYSOURWITHLEMON|                                                                                                       WHISKEY 4.8oz LEMONJUICE 3.2oz |    |
|         AMARETTOSOURWITHLIME|                                                                                                AMARETTOLIQUEUR 5.3oz LIMEJUICE 2.7oz |  x |
|               WHISKEYANDCOKE|                                                                                                                 WHISKEY 2oz COKE 6oz |    |
|          GINGINMULEWITHLEMON|                                                                                            GIN 2.7oz GINGERBEER 4oz LEMONJUICE 1.3oz |    |
|         VODKAGIMLETWITHLEMON|                                                                                                         VODKA 6.4oz LEMONJUICE 1.6oz |    |
|                    GODFATHER|                                                                                                      AMARETTOLIQUEUR 4oz WHISKEY 4oz |  x |
|                     KAMIKAZE|                                                                                     VODKA 2.7oz ORANGE LIQUEUR 2.7oz LIMEJUICE 2.7oz |    |
|        LEFTHANDEDSCREWDRIVER|                                                                                                          GIN 2.7oz ORANGEJUICE 5.3oz |  x |
|       RUMANDCOKEWITHLIGHTRUM|                                                                                                            LIGHTRUM 2.7oz COKE 5.3oz |    |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
